Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,269,7368,0,-1703,686,0,269,7368,0
1,3930,29,0,-1730,715,0,3930,29,0
2,5040,558,0,1340,26,0,5040,558,0
3,5961,0,2639,268,0,5961,0
4,5961,0,3595,034,0,5961,0
5,5961,0,1065,523,0,5961,0
6,5961,0,2150,006,0,5961,0
7,5961,0,1787,483,0,5961,0
8,5961,0,2827,766,0,5961,0
9,7181,631,0,3547,256,0,7181,631,0
10,7181,631,0,2145,263,0,7181,631,0
11,7181,631,0,2967,211,0,7181,631,0
12,7181,631,0,2963,946,0,7181,631,0
13,7181,631,0,2740,459,0,7181,631,0
14,7181,631,0,31,79795,0,7181,631,0
15,7181,631,0,1524,631,0,7181,631,0
16,7181,631,0,926,2247,0,7181,631,0
17,7181,631,0,2509,027,0,7181,631,0
18,7181,631,0,1849,946,0,7181,631,0
19,7181,631,0,3636,089,0,7181,631,0
20,7181,631,0,1334,34,0,7181,631,0
21,7181,631,0,1664,646,0,7181,631,0
22,7181,631,0,1222,886,0,7181,631,0
23,7181,631,0,967,9045,0,7181,631,0
24,7181,631,0,2035,074,0,7181,631,0
25,7181,631,0,1419,441,0,7181,631,0
26,7181,631,0,2321,047,0,7181,631,0
27,7181,631,0,2187,683,0,7181,631,0
28,7181,631,0,3176,139,0,7181,631,0
29,7181,631,0,1251,786,0,7181,631,0
30,7181,631,0,3070,004,0,7181,631,0
31,7181,631,0,2775,144,0,7181,631,0
32,7181,631,0,2202,602,0,7181,631,0
33,7181,631,0,3117,59,0,7181,631,0
34,7181,631,0,1738,755,0,7181,631,0
35,7181,631,0,1067,159,0,7181,631,0
36,7952,511,0,968,8403,0,7952,511,0
37,7952,511,0,1178,574,0,7952,511,0
38,8162,295,0,3935,274,0,8162,295,0
39,8162,295,0,2235,74,0,8162,295,0
40,8965,168,0,1194,28,0,8965,168,0
41,8965,168,0,2036,269,0,8965,168,0
42,8965,168,0,1847,365,0,8965,168,0
43,8965,168,0,2905,357,0,8965,168,0
44,8954,168,0,3503,855,0,8965,168,0
45,8965,168,0,2949,451,0,8965,168,0
46,8965,168,0,2244,534,0,8965,168,0
47,8965,168,0,1821,851,0,8965,168,0
48,8965,168,0,3551,974,0,8965,168,0
49,8965,168,0,2812,336,0,8965,168,0
50,8965,168,0,2178,611,0,8965,168,0
51,8965,168,0,2346,918,0,8965,168,0
52,8975,168,0,3333,251,0,8975,168,0
53,8965,168,0,3201,216,0,8975,168,0
54,8945,168,0,3011,993,0,8975,168,0
55,8965,168,0,2004,273,0,8975,168,0
56,8954,168,0,1393,838,0,8975,168,0
57,8965,168,0,682,1666,0,8975,168,0
58,8955,168,0,1888,502,0,8975,168,0
59,8965,168,0,2094,633,0,8975,168,0
60,8965,168,0,2135,594,0,8975,168,0
61,8965,168,0,2257,758,0,8975,168,0
62,8965,168,0,725,5742,0,8975,168,0
63,8965,168,0,2306,437,0,8975,168,0
64,8965,168,0,2296,74,0,8975,168,0
65,8965,168,0,2105,249,0,8975,168,0
66,8965,168,0,2223,626,0,8975,168,0
67,8965,168,0,1474,396,0,8975,168,0
68,8954,168,0,1463,499,0,8975,168,0
69,8965,168,0,1118,107,0,8975,168,0
70,8955,168,0,1340,627,0,8975,168,0
71,8965,168,0,1183,553,0,8975,168,0
72,8965,168,0,3059,917,0,8975,168,0
73,8965,168,0,2113,928,0,8975,168,0
74,8965,168,0,1176,831,0,8975,168,0
75,8975,168,0,1492,069,0,8975,168,0
76,8965,168,0,1406,312,0,8975,168,0
77,8954,168,0,1747,537,0,8975,168,0
78,8965,168,0,4001,223,0,8975,168,0
79,8965,168,0,2834,667,0,8975,168,0
80,8975,168,0,2508,718,0,8975,168,0
81,8965,168,0,999,4789,0,8975,168,0
82,8965,168,0,2675,323,0,8975,168,0
83,8975,168,0,2299,904,0,8975,168,0
84,8945,168,0,3180,101,0,8975,168,0
85,8954,168,0,1955,726,0,8975,168,0
86,9164,042,0,2261,997,0,9164,042,0
87,9124,042,0,1776,048,0,9164,042,0
88,9164,042,0,459,8236,0,9164,042,0
89,9164,042,0,3340,419,0,9164,042,0
90,9164,042,0,3203,883,0,9164,042,0
91,9164,042,0,2851,136,0,9164,042,0
92,9164,042,0,2025,377,0,9164,042,0
93,9164,042,0,2428,829,0,9164,042,0
94,9164,042,0,2033,897,0,9164,042,0
95,9164,042,0,1237,117,0,9164,042,0
96,9164,042,0,3246,511,0,9164,042,0
97,9164,042,0,2470,718,0,9164,042,0
98,9164,042,0,1441,055,0,9164,042,0
99,9164,042,0,3114,54,0,9164,042,0
100,9574,152,0,2897,178,0,9574,152,0
101,9574,152,0,1346,25,0,9574,152,0
102,9574,073,0,2611,827,0,9574,152,0
103,9574,152,0,1647,934,0,9574,152,0
104,9574,152,0,3257,056,0,9574,152,0
105,9574,311,0,2883,394,0,9574,311,0
106,9764,342,0,1655,395,0,9764,342,0
107,9844,342,0,1339,143,0,9844,342,0
108,9783,995,0,2025,925,0,9844,342,0
109,9173,568,0,2208,321,0,9844,342,0
110,9644,39,0,2302,706,0,9844,342,0
111,9794,374,0,960,5472,0,9844,342,0
112,10093,87,0,1539,017,0,10093,87,0
113,10013,9,0,91,9079,0,10093,87,0
114,10053,9,0,1095,315,0,10093,87,0
115,10053,92,0,2954,622,0,10093,87,0
116,11063,87,0,2557,204,0,11063,87,0
117,10613,87,0,2323,032,0,11063,87,0
118,10983,87,0,1386,113,0,11063,87,0
119,10973,87,0,-268,8948,0,11063,87,0
