Iteration,Cost,Temperature,Sequence
0,40,90,5 3 6 4 2 1
1,52,80,5 4 6 3 2 1
2,54,70,5 4 6 1 2 3
3,48,60,5 6 4 1 2 3
4,55,50,5 6 4 1 3 2
5,47,40,1 6 4 5 3 2
6,49,30,6 1 4 5 3 2
7,53,20,6 4 1 5 3 2
8,47,10,6 4 1 2 3 5
9,63,0,6 4 1 3 2 5
10,63,0,6 4 1 3 2 5
11,63,0,6 4 1 3 2 5
12,63,0,6 4 1 3 2 5
13,63,0,6 4 1 3 2 5
14,63,0,6 4 1 3 2 5
15,63,0,6 4 1 3 2 5
16,63,0,6 4 1 3 2 5
17,63,0,6 4 1 3 2 5
18,63,0,6 4 1 3 2 5
19,63,0,6 4 1 3 2 5
20,63,0,6 4 1 3 2 5
21,63,0,6 4 1 3 2 5
22,63,0,6 4 1 3 2 5
23,63,0,6 4 1 3 2 5
24,63,0,6 4 1 3 2 5
25,63,0,6 4 1 3 2 5
26,63,0,6 4 1 3 2 5
27,63,0,6 4 1 3 2 5
28,63,0,6 4 1 3 2 5
29,63,0,6 4 1 3 2 5
30,63,0,6 4 1 3 2 5
31,63,0,6 4 1 3 2 5
32,63,0,6 4 1 3 2 5
33,63,0,6 4 1 3 2 5
34,63,0,6 4 1 3 2 5
35,63,0,6 4 1 3 2 5
36,63,0,6 4 1 3 2 5
37,63,0,6 4 1 3 2 5
38,63,0,6 4 1 3 2 5
39,63,0,6 4 1 3 2 5
40,63,0,6 4 1 3 2 5
41,63,0,6 4 1 3 2 5
42,63,0,6 4 1 3 2 5
43,63,0,6 4 1 3 2 5
44,63,0,6 4 1 3 2 5
45,63,0,6 4 1 3 2 5
46,63,0,6 4 1 3 2 5
47,63,0,6 4 1 3 2 5
48,63,0,6 4 1 3 2 5
49,63,0,6 4 1 3 2 5
50,63,0,6 4 1 3 2 5
51,63,0,6 4 1 3 2 5
52,63,0,6 4 1 3 2 5
53,63,0,6 4 1 3 2 5
54,63,0,6 4 1 3 2 5
55,63,0,6 4 1 3 2 5
56,63,0,6 4 1 3 2 5
57,63,0,6 4 1 3 2 5
58,63,0,6 4 1 3 2 5
59,63,0,6 4 1 3 2 5
60,63,0,6 4 1 3 2 5
61,63,0,6 4 1 3 2 5
62,63,0,6 4 1 3 2 5
63,63,0,6 4 1 3 2 5
64,63,0,6 4 1 3 2 5
65,63,0,6 4 1 3 2 5
66,63,0,6 4 1 3 2 5
67,63,0,6 4 1 3 2 5
68,63,0,6 4 1 3 2 5
69,63,0,6 4 1 3 2 5
70,63,0,6 4 1 3 2 5
71,63,0,6 4 1 3 2 5
72,63,0,6 4 1 3 2 5
73,63,0,6 4 1 3 2 5
74,63,0,6 4 1 3 2 5
75,63,0,6 4 1 3 2 5
76,63,0,6 4 1 3 2 5
77,63,0,6 4 1 3 2 5
78,63,0,6 4 1 3 2 5
79,63,0,6 4 1 3 2 5
80,63,0,6 4 1 3 2 5
81,63,0,6 4 1 3 2 5
82,63,0,6 4 1 3 2 5
83,63,0,6 4 1 3 2 5
84,63,0,6 4 1 3 2 5
85,63,0,6 4 1 3 2 5
86,63,0,6 4 1 3 2 5
87,63,0,6 4 1 3 2 5
88,63,0,6 4 1 3 2 5
89,63,0,6 4 1 3 2 5
90,63,0,6 4 1 3 2 5
91,63,0,6 4 1 3 2 5
92,63,0,6 4 1 3 2 5
93,63,0,6 4 1 3 2 5
94,63,0,6 4 1 3 2 5
95,63,0,6 4 1 3 2 5
96,63,0,6 4 1 3 2 5
97,63,0,6 4 1 3 2 5
98,63,0,6 4 1 3 2 5
99,63,0,6 4 1 3 2 5
