Iteration,Cost,Temperature,Sequence
0,40,2,995732,5 3 6 4 2 1
1,52,1,097189,5 4 6 3 2 1
2,54,0,09275119,5 4 6 1 2 3
3,48,1,5 6 4 1 2 3
4,55,1,5 6 4 1 3 2
5,47,1,1 6 4 5 3 2
6,49,1,6 1 4 5 3 2
7,53,1,6 4 1 5 3 2
8,47,1,6 4 1 2 3 5
9,63,1,6 4 1 3 2 5
10,57,1,6 4 2 3 1 5
11,43,1,6 4 2 1 3 5
12,43,1,6 5 2 1 3 4
13,41,1,6 5 1 2 3 4
14,55,1,6 1 5 2 3 4
15,59,1,4 1 5 2 3 6
16,55,1,6 1 5 2 3 4
17,59,1,6 1 3 2 5 4
18,47,1,6 1 3 5 2 4
19,59,1,6 1 3 2 5 4
20,61,1,3 1 6 2 5 4
21,51,1,3 1 4 2 5 6
22,46,1,6 1 4 2 5 3
23,48,1,6 4 1 2 5 3
24,62,1,6 4 1 5 2 3
25,48,1,6 2 1 5 4 3
26,50,1,2 6 1 5 4 3
27,49,1,3 6 1 5 4 2
28,35,1,1 6 3 5 4 2
29,45,1,1 6 3 4 5 2
30,37,1,5 6 3 4 1 2
31,47,1,5 6 1 4 3 2
32,55,1,3 6 1 4 5 2
33,41,1,3 6 5 4 1 2
34,63,1,3 1 5 4 6 2
35,63,1,3 1 6 4 5 2
36,59,1,3 4 6 1 5 2
37,49,1,3 4 1 6 5 2
38,53,1,5 4 1 6 3 2
39,41,1,1 4 5 6 3 2
40,61,1,6 4 5 1 3 2
41,43,1,6 4 2 1 3 5
42,61,1,6 4 5 1 3 2
43,47,1,6 4 5 3 1 2
44,43,1,4 6 5 3 1 2
45,45,1,5 6 4 3 1 2
46,37,1,5 6 3 4 1 2
47,57,1,5 2 3 4 1 6
48,61,1,3 2 5 4 1 6
49,57,1,5 2 3 4 1 6
50,37,1,5 6 3 4 1 2
51,47,1,5 6 1 4 3 2
52,41,1,5 6 1 2 3 4
53,41,1,5 6 3 2 1 4
54,63,1,5 1 3 2 6 4
55,59,1,5 1 3 2 4 6
56,63,1,5 1 3 2 6 4
57,55,1,5 1 6 2 3 4
58,61,1,3 1 6 2 5 4
59,51,1,3 1 4 2 5 6
60,45,1,3 4 1 2 5 6
61,51,1,3 1 4 2 5 6
62,63,1,3 1 4 5 2 6
63,57,1,4 1 3 5 2 6
64,48,1,4 6 3 5 2 1
65,34,1,5 6 3 4 2 1
66,38,1,3 6 5 4 2 1
67,52,1,3 6 2 4 5 1
68,43,1,3 1 2 4 5 6
69,49,1,3 5 2 4 1 6
70,41,1,3 5 4 2 1 6
71,47,1,3 5 4 1 2 6
72,49,1,3 2 4 1 5 6
73,52,1,3 2 4 6 5 1
74,45,1,3 2 1 6 5 4
75,35,1,1 2 3 6 5 4
76,35,1,1 2 6 3 5 4
77,46,1,4 2 6 3 5 1
78,46,1,4 2 3 6 5 1
79,62,1,4 6 3 2 5 1
80,58,1,4 6 2 3 5 1
81,46,1,4 2 6 3 5 1
82,53,1,4 2 6 3 1 5
83,50,1,4 2 6 5 1 3
84,64,1,5 2 6 4 1 3
85,62,1,5 2 6 4 3 1
86,56,1,5 2 4 6 3 1
87,52,1,5 6 4 2 3 1
88,44,1,5 6 3 2 4 1
89,43,1,1 6 3 2 4 5
90,49,1,1 6 2 3 4 5
91,50,1,1 6 2 5 4 3
92,59,1,1 3 2 5 4 6
93,53,1,1 3 4 5 2 6
94,51,1,1 5 4 3 2 6
95,56,1,1 5 4 6 2 3
96,58,1,2 5 4 6 1 3
97,50,1,2 5 4 1 6 3
98,54,1,2 5 1 4 6 3
99,38,1,2 4 1 5 6 3
