Iteration,Cost,Temperature,Sequence
0,40,35,5 3 6 4 2 1
135,30,8,035606E-40,6 5 3 4 2 1
136,30,4,017803E-40,6 5 3 4 2 1
137,30,2,008901E-40,6 5 3 4 2 1
138,30,1,004451E-40,6 5 3 4 2 1
139,30,5,022254E-41,6 5 3 4 2 1
140,30,2,511127E-41,6 5 3 4 2 1
141,30,1,255563E-41,6 5 3 4 2 1
142,30,6,277817E-42,6 5 3 4 2 1
143,30,3,138909E-42,6 5 3 4 2 1
144,30,1,569454E-42,6 5 3 4 2 1
145,30,7,847271E-43,6 5 3 4 2 1
146,30,3,923636E-43,6 5 3 4 2 1
147,30,1,961818E-43,6 5 3 4 2 1
148,30,9,809089E-44,6 5 3 4 2 1
149,30,4,904545E-44,6 5 3 4 2 1
150,30,2,522337E-44,6 5 3 4 2 1
151,30,1,261169E-44,6 5 3 4 2 1
152,30,5,605194E-45,6 5 3 4 2 1
153,30,2,802597E-45,6 5 3 4 2 1
154,30,1,401298E-45,6 5 3 4 2 1
155,30,0,6 5 3 4 2 1
156,30,0,6 5 3 4 2 1
157,30,0,6 5 3 4 2 1
158,30,0,6 5 3 4 2 1
159,30,0,6 5 3 4 2 1
160,30,0,6 5 3 4 2 1
161,30,0,6 5 3 4 2 1
162,30,0,6 5 3 4 2 1
163,30,0,6 5 3 4 2 1
164,30,0,6 5 3 4 2 1
165,30,0,6 5 3 4 2 1
166,30,0,6 5 3 4 2 1
167,30,0,6 5 3 4 2 1
168,30,0,6 5 3 4 2 1
169,30,0,6 5 3 4 2 1
170,30,0,6 5 3 4 2 1
171,30,0,6 5 3 4 2 1
172,30,0,6 5 3 4 2 1
173,30,0,6 5 3 4 2 1
174,30,0,6 5 3 4 2 1
175,30,0,6 5 3 4 2 1
176,30,0,6 5 3 4 2 1
177,30,0,6 5 3 4 2 1
178,30,0,6 5 3 4 2 1
179,30,0,6 5 3 4 2 1
180,30,0,6 5 3 4 2 1
181,30,0,6 5 3 4 2 1
182,30,0,6 5 3 4 2 1
183,30,0,6 5 3 4 2 1
184,30,0,6 5 3 4 2 1
185,30,0,6 5 3 4 2 1
186,30,0,6 5 3 4 2 1
187,30,0,6 5 3 4 2 1
188,30,0,6 5 3 4 2 1
189,30,0,6 5 3 4 2 1
190,30,0,6 5 3 4 2 1
191,30,0,6 5 3 4 2 1
192,30,0,6 5 3 4 2 1
193,30,0,6 5 3 4 2 1
194,30,0,6 5 3 4 2 1
195,30,0,6 5 3 4 2 1
196,30,0,6 5 3 4 2 1
197,30,0,6 5 3 4 2 1
198,30,0,6 5 3 4 2 1
199,30,0,6 5 3 4 2 1
