Iteration,Cost,Temperature,Sequence
0,141,-4,248495,7 1 2 6 4 3 8 5 9
1,141,-4,248495,7 1 2 6 4 3 8 5 9
2,141,-4,248495,7 1 2 6 4 3 8 5 9
3,141,-4,248495,7 1 2 6 4 3 8 5 9
4,141,-4,248495,7 1 2 6 4 3 8 5 9
5,141,-4,248495,7 1 2 6 4 3 8 5 9
6,141,-4,248495,7 1 2 6 4 3 8 5 9
7,141,-4,248495,7 1 2 6 4 3 8 5 9
8,141,-4,248495,7 1 2 6 4 3 8 5 9
9,141,-4,248495,7 1 2 6 4 3 8 5 9
10,141,-4,248495,7 1 2 6 4 3 8 5 9
11,141,-4,248495,7 1 2 6 4 3 8 5 9
12,141,-4,248495,7 1 2 6 4 3 8 5 9
13,141,-4,248495,7 1 2 6 4 3 8 5 9
14,141,-4,248495,7 1 2 6 4 3 8 5 9
15,141,-4,248495,7 1 2 6 4 3 8 5 9
16,141,-4,248495,7 1 2 6 4 3 8 5 9
17,141,-4,248495,7 1 2 6 4 3 8 5 9
18,141,-4,248495,7 1 2 6 4 3 8 5 9
19,141,-4,248495,7 1 2 6 4 3 8 5 9
20,141,-4,248495,7 1 2 6 4 3 8 5 9
21,141,-4,248495,7 1 2 6 4 3 8 5 9
22,141,-4,248495,7 1 2 6 4 3 8 5 9
23,141,-4,248495,7 1 2 6 4 3 8 5 9
24,141,-4,248495,7 1 2 6 4 3 8 5 9
25,141,-4,248495,7 1 2 6 4 3 8 5 9
26,141,-4,248495,7 1 2 6 4 3 8 5 9
27,141,-4,248495,7 1 2 6 4 3 8 5 9
28,141,-4,248495,7 1 2 6 4 3 8 5 9
29,141,-4,248495,7 1 2 6 4 3 8 5 9
30,141,-4,248495,7 1 2 6 4 3 8 5 9
31,141,-4,248495,7 1 2 6 4 3 8 5 9
32,141,-4,248495,7 1 2 6 4 3 8 5 9
33,141,-4,248495,7 1 2 6 4 3 8 5 9
34,141,-4,248495,7 1 2 6 4 3 8 5 9
35,141,-4,248495,7 1 2 6 4 3 8 5 9
36,141,-4,248495,7 1 2 6 4 3 8 5 9
37,141,-4,248495,7 1 2 6 4 3 8 5 9
38,141,-4,248495,7 1 2 6 4 3 8 5 9
39,141,-4,248495,7 1 2 6 4 3 8 5 9
40,141,-4,248495,7 1 2 6 4 3 8 5 9
41,141,-4,248495,7 1 2 6 4 3 8 5 9
42,141,-4,248495,7 1 2 6 4 3 8 5 9
43,141,-4,248495,7 1 2 6 4 3 8 5 9
44,141,-4,248495,7 1 2 6 4 3 8 5 9
45,141,-4,248495,7 1 2 6 4 3 8 5 9
46,141,-4,248495,7 1 2 6 4 3 8 5 9
47,141,-4,248495,7 1 2 6 4 3 8 5 9
48,141,-4,248495,7 1 2 6 4 3 8 5 9
49,141,-4,248495,7 1 2 6 4 3 8 5 9
50,141,-4,248495,7 1 2 6 4 3 8 5 9
51,141,-4,248495,7 1 2 6 4 3 8 5 9
52,141,-4,248495,7 1 2 6 4 3 8 5 9
53,141,-4,248495,7 1 2 6 4 3 8 5 9
54,141,-4,248495,7 1 2 6 4 3 8 5 9
55,141,-4,248495,7 1 2 6 4 3 8 5 9
56,141,-4,248495,7 1 2 6 4 3 8 5 9
57,141,-4,248495,7 1 2 6 4 3 8 5 9
58,141,-4,248495,7 1 2 6 4 3 8 5 9
59,141,-4,248495,7 1 2 6 4 3 8 5 9
60,141,-4,248495,7 1 2 6 4 3 8 5 9
61,141,-4,248495,7 1 2 6 4 3 8 5 9
62,141,-4,248495,7 1 2 6 4 3 8 5 9
63,141,-4,248495,7 1 2 6 4 3 8 5 9
64,141,-4,248495,7 1 2 6 4 3 8 5 9
65,141,-4,248495,7 1 2 6 4 3 8 5 9
66,141,-4,248495,7 1 2 6 4 3 8 5 9
67,141,-4,248495,7 1 2 6 4 3 8 5 9
68,141,-4,248495,7 1 2 6 4 3 8 5 9
69,141,-4,248495,7 1 2 6 4 3 8 5 9
70,141,-4,248495,7 1 2 6 4 3 8 5 9
71,141,-4,248495,7 1 2 6 4 3 8 5 9
72,141,-4,248495,7 1 2 6 4 3 8 5 9
73,141,-4,248495,7 1 2 6 4 3 8 5 9
74,141,-4,248495,7 1 2 6 4 3 8 5 9
75,141,-4,248495,7 1 2 6 4 3 8 5 9
76,141,-4,248495,7 1 2 6 4 3 8 5 9
77,141,-4,248495,7 1 2 6 4 3 8 5 9
78,141,-4,248495,7 1 2 6 4 3 8 5 9
79,141,-4,248495,7 1 2 6 4 3 8 5 9
80,141,-4,248495,7 1 2 6 4 3 8 5 9
81,141,-4,248495,7 1 2 6 4 3 8 5 9
82,141,-4,248495,7 1 2 6 4 3 8 5 9
83,141,-4,248495,7 1 2 6 4 3 8 5 9
84,141,-4,248495,7 1 2 6 4 3 8 5 9
85,141,-4,248495,7 1 2 6 4 3 8 5 9
86,141,-4,248495,7 1 2 6 4 3 8 5 9
87,141,-4,248495,7 1 2 6 4 3 8 5 9
88,141,-4,248495,7 1 2 6 4 3 8 5 9
89,141,-4,248495,7 1 2 6 4 3 8 5 9
90,141,-4,248495,7 1 2 6 4 3 8 5 9
91,141,-4,248495,7 1 2 6 4 3 8 5 9
92,141,-4,248495,7 1 2 6 4 3 8 5 9
93,141,-4,248495,7 1 2 6 4 3 8 5 9
94,141,-4,248495,7 1 2 6 4 3 8 5 9
95,141,-4,248495,7 1 2 6 4 3 8 5 9
96,141,-4,248495,7 1 2 6 4 3 8 5 9
97,141,-4,248495,7 1 2 6 4 3 8 5 9
98,141,-4,248495,7 1 2 6 4 3 8 5 9
99,141,-4,248495,7 1 2 6 4 3 8 5 9
