Iteration,Cost,Temperature,Sequence
0,22,-4,60517,2 1 3
1,22,-4,60517,2 1 3
2,22,-4,60517,2 1 3
3,22,-4,60517,2 1 3
4,22,-4,60517,2 1 3
5,22,-4,60517,2 1 3
6,22,-4,60517,2 1 3
7,22,-4,60517,2 1 3
8,22,-4,60517,2 1 3
9,22,-4,60517,2 1 3
10,22,-4,60517,2 1 3
11,22,-4,60517,2 1 3
12,22,-4,60517,2 1 3
13,22,-4,60517,2 1 3
14,22,-4,60517,2 1 3
15,22,-4,60517,2 1 3
16,22,-4,60517,2 1 3
17,22,-4,60517,2 1 3
18,22,-4,60517,2 1 3
19,22,-4,60517,2 1 3
20,22,-4,60517,2 1 3
21,22,-4,60517,2 1 3
22,22,-4,60517,2 1 3
23,22,-4,60517,2 1 3
24,22,-4,60517,2 1 3
25,22,-4,60517,2 1 3
26,22,-4,60517,2 1 3
27,22,-4,60517,2 1 3
28,22,-4,60517,2 1 3
29,22,-4,60517,2 1 3
30,22,-4,60517,2 1 3
31,22,-4,60517,2 1 3
32,22,-4,60517,2 1 3
33,22,-4,60517,2 1 3
34,22,-4,60517,2 1 3
35,22,-4,60517,2 1 3
36,22,-4,60517,2 1 3
37,22,-4,60517,2 1 3
38,22,-4,60517,2 1 3
39,22,-4,60517,2 1 3
40,22,-4,60517,2 1 3
41,22,-4,60517,2 1 3
42,22,-4,60517,2 1 3
43,22,-4,60517,2 1 3
44,22,-4,60517,2 1 3
45,22,-4,60517,2 1 3
46,22,-4,60517,2 1 3
47,22,-4,60517,2 1 3
48,22,-4,60517,2 1 3
49,22,-4,60517,2 1 3
50,22,-4,60517,2 1 3
51,22,-4,60517,2 1 3
52,22,-4,60517,2 1 3
53,22,-4,60517,2 1 3
54,22,-4,60517,2 1 3
55,22,-4,60517,2 1 3
56,22,-4,60517,2 1 3
57,22,-4,60517,2 1 3
58,22,-4,60517,2 1 3
59,22,-4,60517,2 1 3
60,22,-4,60517,2 1 3
61,22,-4,60517,2 1 3
62,22,-4,60517,2 1 3
63,22,-4,60517,2 1 3
64,22,-4,60517,2 1 3
65,22,-4,60517,2 1 3
66,22,-4,60517,2 1 3
67,22,-4,60517,2 1 3
68,22,-4,60517,2 1 3
69,22,-4,60517,2 1 3
70,22,-4,60517,2 1 3
71,22,-4,60517,2 1 3
72,22,-4,60517,2 1 3
73,22,-4,60517,2 1 3
74,22,-4,60517,2 1 3
75,22,-4,60517,2 1 3
76,22,-4,60517,2 1 3
77,22,-4,60517,2 1 3
78,22,-4,60517,2 1 3
79,22,-4,60517,2 1 3
80,22,-4,60517,2 1 3
81,22,-4,60517,2 1 3
82,22,-4,60517,2 1 3
83,22,-4,60517,2 1 3
84,22,-4,60517,2 1 3
85,22,-4,60517,2 1 3
86,22,-4,60517,2 1 3
87,22,-4,60517,2 1 3
88,22,-4,60517,2 1 3
89,22,-4,60517,2 1 3
90,22,-4,60517,2 1 3
91,22,-4,60517,2 1 3
92,22,-4,60517,2 1 3
93,22,-4,60517,2 1 3
94,22,-4,60517,2 1 3
95,22,-4,60517,2 1 3
96,22,-4,60517,2 1 3
97,22,-4,60517,2 1 3
98,22,-4,60517,2 1 3
99,22,-4,60517,2 1 3
