Iteration,Cost,Temperature,Sequence
0,40,-4,60517,5 3 6 4 2 1
1,40,-4,60517,5 3 6 4 2 1
2,40,-4,60517,5 3 6 4 2 1
3,40,-4,60517,5 3 6 4 2 1
4,40,-4,60517,5 3 6 4 2 1
5,40,-4,60517,5 3 6 4 2 1
6,40,-4,60517,5 3 6 4 2 1
7,40,-4,60517,5 3 6 4 2 1
8,40,-4,60517,5 3 6 4 2 1
9,40,-4,60517,5 3 6 4 2 1
10,40,-4,60517,5 3 6 4 2 1
11,40,-4,60517,5 3 6 4 2 1
12,40,-4,60517,5 3 6 4 2 1
13,40,-4,60517,5 3 6 4 2 1
14,40,-4,60517,5 3 6 4 2 1
15,40,-4,60517,5 3 6 4 2 1
16,40,-4,60517,5 3 6 4 2 1
17,40,-4,60517,5 3 6 4 2 1
18,40,-4,60517,5 3 6 4 2 1
19,40,-4,60517,5 3 6 4 2 1
20,40,-4,60517,5 3 6 4 2 1
21,40,-4,60517,5 3 6 4 2 1
22,40,-4,60517,5 3 6 4 2 1
23,40,-4,60517,5 3 6 4 2 1
24,40,-4,60517,5 3 6 4 2 1
25,40,-4,60517,5 3 6 4 2 1
26,40,-4,60517,5 3 6 4 2 1
27,40,-4,60517,5 3 6 4 2 1
28,40,-4,60517,5 3 6 4 2 1
29,40,-4,60517,5 3 6 4 2 1
30,40,-4,60517,5 3 6 4 2 1
31,40,-4,60517,5 3 6 4 2 1
32,40,-4,60517,5 3 6 4 2 1
33,40,-4,60517,5 3 6 4 2 1
34,40,-4,60517,5 3 6 4 2 1
35,40,-4,60517,5 3 6 4 2 1
36,40,-4,60517,5 3 6 4 2 1
37,40,-4,60517,5 3 6 4 2 1
38,40,-4,60517,5 3 6 4 2 1
39,40,-4,60517,5 3 6 4 2 1
40,40,-4,60517,5 3 6 4 2 1
41,40,-4,60517,5 3 6 4 2 1
42,40,-4,60517,5 3 6 4 2 1
43,40,-4,60517,5 3 6 4 2 1
44,40,-4,60517,5 3 6 4 2 1
45,40,-4,60517,5 3 6 4 2 1
46,40,-4,60517,5 3 6 4 2 1
47,40,-4,60517,5 3 6 4 2 1
48,40,-4,60517,5 3 6 4 2 1
49,40,-4,60517,5 3 6 4 2 1
50,40,-4,60517,5 3 6 4 2 1
51,40,-4,60517,5 3 6 4 2 1
52,40,-4,60517,5 3 6 4 2 1
53,40,-4,60517,5 3 6 4 2 1
54,40,-4,60517,5 3 6 4 2 1
55,40,-4,60517,5 3 6 4 2 1
56,40,-4,60517,5 3 6 4 2 1
57,40,-4,60517,5 3 6 4 2 1
58,40,-4,60517,5 3 6 4 2 1
59,40,-4,60517,5 3 6 4 2 1
60,40,-4,60517,5 3 6 4 2 1
61,40,-4,60517,5 3 6 4 2 1
62,40,-4,60517,5 3 6 4 2 1
63,40,-4,60517,5 3 6 4 2 1
64,40,-4,60517,5 3 6 4 2 1
65,40,-4,60517,5 3 6 4 2 1
66,40,-4,60517,5 3 6 4 2 1
67,40,-4,60517,5 3 6 4 2 1
68,40,-4,60517,5 3 6 4 2 1
69,40,-4,60517,5 3 6 4 2 1
70,40,-4,60517,5 3 6 4 2 1
71,40,-4,60517,5 3 6 4 2 1
72,40,-4,60517,5 3 6 4 2 1
73,40,-4,60517,5 3 6 4 2 1
74,40,-4,60517,5 3 6 4 2 1
75,40,-4,60517,5 3 6 4 2 1
76,40,-4,60517,5 3 6 4 2 1
77,40,-4,60517,5 3 6 4 2 1
78,40,-4,60517,5 3 6 4 2 1
79,40,-4,60517,5 3 6 4 2 1
80,40,-4,60517,5 3 6 4 2 1
81,40,-4,60517,5 3 6 4 2 1
82,40,-4,60517,5 3 6 4 2 1
83,40,-4,60517,5 3 6 4 2 1
84,40,-4,60517,5 3 6 4 2 1
85,40,-4,60517,5 3 6 4 2 1
86,40,-4,60517,5 3 6 4 2 1
87,40,-4,60517,5 3 6 4 2 1
88,40,-4,60517,5 3 6 4 2 1
89,40,-4,60517,5 3 6 4 2 1
90,40,-4,60517,5 3 6 4 2 1
91,40,-4,60517,5 3 6 4 2 1
92,40,-4,60517,5 3 6 4 2 1
93,40,-4,60517,5 3 6 4 2 1
94,40,-4,60517,5 3 6 4 2 1
95,40,-4,60517,5 3 6 4 2 1
96,40,-4,60517,5 3 6 4 2 1
97,40,-4,60517,5 3 6 4 2 1
98,40,-4,60517,5 3 6 4 2 1
99,40,-4,60517,5 3 6 4 2 1
