Iteration,Cost,Temperature,Sequence
0,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
1,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
2,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
3,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
4,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
5,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
6,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
7,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
8,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
9,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
10,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
11,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
12,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
13,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
14,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
15,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
16,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
17,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
18,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
19,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
20,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
21,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
22,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
23,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
24,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
25,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
26,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
27,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
28,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
29,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
30,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
31,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
32,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
33,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
34,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
35,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
36,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
37,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
38,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
39,207,-4,60517,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
