Iteration,Cost,Temperature,Sequence
0,40,5,5 3 6 4 2 1
1,52,2,5,5 4 6 3 2 1
2,54,1,25,5 4 6 1 2 3
3,48,0,625,5 6 4 1 2 3
4,55,0,3125,5 6 4 1 3 2
5,47,0,15625,1 6 4 5 3 2
6,49,0,078125,6 1 4 5 3 2
7,53,0,0390625,6 4 1 5 3 2
8,47,0,01953125,6 4 1 2 3 5
9,47,0,009765625,6 4 1 2 3 5
10,47,0,004882813,6 4 1 2 3 5
11,47,0,002441406,6 4 1 2 3 5
12,43,0,001220703,6 4 2 1 3 5
13,43,0,0006103516,6 4 2 1 3 5
14,43,0,0003051758,6 4 2 1 3 5
15,43,0,0001525879,6 4 2 1 3 5
16,43,7,629395E-05,6 4 2 1 3 5
17,43,3,814697E-05,6 4 2 1 3 5
18,43,1,907349E-05,6 4 2 1 3 5
19,43,9,536743E-06,6 4 2 1 3 5
20,43,4,768372E-06,6 4 2 1 3 5
21,43,2,384186E-06,6 4 2 1 3 5
22,43,1,192093E-06,6 4 2 1 3 5
23,43,5,960464E-07,6 4 2 1 3 5
24,43,2,980232E-07,6 4 2 1 3 5
25,37,1,490116E-07,1 4 2 6 3 5
26,37,7,450581E-08,1 4 2 6 3 5
27,37,3,72529E-08,1 4 2 6 3 5
28,37,1,862645E-08,1 4 2 6 3 5
29,37,9,313226E-09,1 4 2 6 3 5
30,37,4,656613E-09,1 4 2 6 3 5
31,37,2,328306E-09,1 4 2 6 3 5
32,37,1,164153E-09,1 4 2 3 6 5
33,37,5,820766E-10,1 4 2 3 6 5
34,37,2,910383E-10,3 4 2 1 6 5
35,37,1,455192E-10,3 4 2 1 6 5
36,37,7,275958E-11,3 4 2 1 6 5
37,37,3,637979E-11,3 4 2 1 6 5
38,37,1,818989E-11,3 4 2 1 6 5
39,37,9,094947E-12,3 4 2 1 6 5
40,37,4,547474E-12,3 4 2 1 6 5
41,37,2,273737E-12,1 4 2 3 6 5
42,27,1,136868E-12,1 2 4 3 6 5
43,27,5,684342E-13,1 2 4 3 6 5
44,27,2,842171E-13,1 2 4 3 6 5
45,27,1,421085E-13,1 2 4 3 6 5
46,27,7,105427E-14,1 2 4 3 6 5
47,27,3,552714E-14,1 2 4 3 6 5
48,27,1,776357E-14,1 2 4 3 6 5
49,27,8,881784E-15,1 2 4 3 6 5
