Iteration,Cost,Temperature,Sequence
0,40,-4,60517,5 3 6 4 2 1
1,40,-4,60517,5 3 6 4 2 1
2,40,-4,60517,5 3 6 4 2 1
3,40,-4,60517,5 3 6 4 2 1
4,40,-4,60517,5 3 6 4 2 1
5,40,-4,60517,5 3 6 4 2 1
6,40,-4,60517,5 3 6 4 2 1
7,40,-4,60517,5 3 6 4 2 1
8,40,-4,60517,5 3 6 4 2 1
9,40,-4,60517,5 3 6 4 2 1
10,40,-4,60517,5 3 6 4 2 1
11,40,-4,60517,5 3 6 4 2 1
12,40,-4,60517,5 3 6 4 2 1
13,40,-4,60517,5 3 6 4 2 1
14,40,-4,60517,5 3 6 4 2 1
15,40,-4,60517,5 3 6 4 2 1
16,40,-4,60517,5 3 6 4 2 1
17,40,-4,60517,5 3 6 4 2 1
18,40,-4,60517,5 3 6 4 2 1
19,40,-4,60517,5 3 6 4 2 1
20,40,-4,60517,5 3 6 4 2 1
21,40,-4,60517,5 3 6 4 2 1
22,40,-4,60517,5 3 6 4 2 1
23,40,-4,60517,5 3 6 4 2 1
24,40,-4,60517,5 3 6 4 2 1
25,40,-4,60517,5 3 6 4 2 1
26,40,-4,60517,5 3 6 4 2 1
27,40,-4,60517,5 3 6 4 2 1
28,40,-4,60517,5 3 6 4 2 1
29,40,-4,60517,5 3 6 4 2 1
30,40,-4,60517,5 3 6 4 2 1
31,40,-4,60517,5 3 6 4 2 1
32,40,-4,60517,5 3 6 4 2 1
33,40,-4,60517,5 3 6 4 2 1
34,40,-4,60517,5 3 6 4 2 1
35,40,-4,60517,5 3 6 4 2 1
36,40,-4,60517,5 3 6 4 2 1
37,40,-4,60517,5 3 6 4 2 1
38,40,-4,60517,5 3 6 4 2 1
39,40,-4,60517,5 3 6 4 2 1
40,40,-4,60517,5 3 6 4 2 1
41,40,-4,60517,5 3 6 4 2 1
42,40,-4,60517,5 3 6 4 2 1
43,40,-4,60517,5 3 6 4 2 1
44,40,-4,60517,5 3 6 4 2 1
45,40,-4,60517,5 3 6 4 2 1
46,40,-4,60517,5 3 6 4 2 1
47,40,-4,60517,5 3 6 4 2 1
48,40,-4,60517,5 3 6 4 2 1
49,40,-4,60517,5 3 6 4 2 1
