Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,116,0,43,7537,0,116,0
1,136,0,66,02281,0,136,0
2,137,0,84,70699,0,137,0
3,138,0,91,44375,0,138,0
4,137,0,95,82361,0,138,0
5,136,0,89,28438,0,138,0
6,137,0,91,83958,0,138,0
7,140,0,97,34431,0,140,0
8,141,0,96,19722,0,141,0
9,143,0,99,51666,0,143,0
10,143,0,99,51666,0,143,0

