Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,42,0,22,35,0,42,0
1,42,0,23,9,0,42,0
2,42,0,26,75,0,42,0
3,42,0,29,05,0,42,0
4,51,0,37,4,0,51,0
5,50,0,40,25,0,51,0
6,54,0,41,55,0,54,0
7,54,0,37,15,0,54,0
8,54,0,41,1,0,54,0
9,60,0,38,5,0,60,0
10,60,0,38,5,0,60,0

